GAME_ID,GAME_DATE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,HOME_PTS,AWAY_PTS,IS_FINAL,INGESTED_AT_UTC
0022500990,2026-03-16,3,Final,1610612746,1610612759,LAC,SAS,115,119,True,2026-03-24T00:27:58.971108+00:00
22500983,2026-03-16,1,7:00 pm ET,1610612737,1610612753,ATL,ORL,,,False,2026-03-12 02:06:25.327022+00:00
22500984,2026-03-16,1,7:00 pm ET,1610612764,1610612744,WAS,GSW,,,False,2026-03-12 02:06:25.327022+00:00
22500985,2026-03-16,1,7:30 pm ET,1610612751,1610612757,BKN,POR,,,False,2026-03-12 02:06:25.327022+00:00
22500986,2026-03-16,1,7:30 pm ET,1610612738,1610612756,BOS,PHX,,,False,2026-03-12 02:06:25.327022+00:00
22500987,2026-03-16,1,8:00 pm ET,1610612741,1610612763,CHI,MEM,,,False,2026-03-12 02:06:25.327022+00:00
22500988,2026-03-16,1,8:00 pm ET,1610612740,1610612742,NOP,DAL,,,False,2026-03-12 02:06:25.327022+00:00
22500989,2026-03-16,1,9:30 pm ET,1610612745,1610612747,HOU,LAL,,,False,2026-03-12 02:06:25.327022+00:00
22500990,2026-03-16,1,10:00 pm ET,1610612746,1610612759,LAC,SAS,,,False,2026-03-12 02:06:25.327022+00:00
0022500991,2026-03-17,3,Final,1610612766,1610612748,CHA,MIA,136,106,True,2026-03-24T00:27:59.153080+00:00
0022500992,2026-03-17,3,Final,1610612753,1610612760,ORL,OKC,108,113,True,2026-03-24T00:27:59.153080+00:00
0022500993,2026-03-17,3,Final,1610612764,1610612765,WAS,DET,117,130,True,2026-03-24T00:27:59.153080+00:00
0022500994,2026-03-17,3,Final,1610612752,1610612754,NYK,IND,136,110,True,2026-03-24T00:27:59.153080+00:00
0022500995,2026-03-17,3,Final,1610612749,1610612739,MIL,CLE,116,123,True,2026-03-24T00:27:59.153080+00:00
0022500996,2026-03-17,3,Final,1610612750,1610612756,MIN,PHX,116,104,True,2026-03-24T00:27:59.153080+00:00
0022500997,2026-03-17,3,Final,1610612743,1610612755,DEN,PHI,124,96,True,2026-03-24T00:27:59.153080+00:00
0022500998,2026-03-17,3,Final,1610612758,1610612759,SAC,SAS,104,132,True,2026-03-24T00:27:59.153080+00:00
22500991,2026-03-17,1,7:00 pm ET,1610612766,1610612748,CHA,MIA,,,False,2026-03-12 02:06:25.618175+00:00
22500992,2026-03-17,1,7:00 pm ET,1610612753,1610612760,ORL,OKC,,,False,2026-03-12 02:06:25.618175+00:00
22500993,2026-03-17,1,7:00 pm ET,1610612764,1610612765,WAS,DET,,,False,2026-03-12 02:06:25.618175+00:00
22500994,2026-03-17,1,7:30 pm ET,1610612752,1610612754,NYK,IND,,,False,2026-03-12 02:06:25.618175+00:00
22500995,2026-03-17,1,8:00 pm ET,1610612749,1610612739,MIL,CLE,,,False,2026-03-12 02:06:25.618175+00:00
22500996,2026-03-17,1,8:00 pm ET,1610612750,1610612756,MIN,PHX,,,False,2026-03-12 02:06:25.618175+00:00
22500997,2026-03-17,1,10:00 pm ET,1610612743,1610612755,DEN,PHI,,,False,2026-03-12 02:06:25.618175+00:00
22500998,2026-03-17,1,10:00 pm ET,1610612758,1610612759,SAC,SAS,,,False,2026-03-12 02:06:25.618175+00:00
0022500651,2026-03-18,3,Final,1610612763,1610612743,MEM,DEN,125,118,True,2026-03-24T00:27:59.254589+00:00
0022500999,2026-03-18,3,Final,1610612738,1610612744,BOS,GSW,120,99,True,2026-03-24T00:27:59.254589+00:00
0022501000,2026-03-18,3,Final,1610612751,1610612760,BKN,OKC,92,121,True,2026-03-24T00:27:59.254589+00:00
0022501001,2026-03-18,3,Final,1610612754,1610612757,IND,POR,119,127,True,2026-03-24T00:27:59.254589+00:00
0022501002,2026-03-18,3,Final,1610612741,1610612761,CHI,TOR,109,139,True,2026-03-24T00:27:59.254589+00:00
0022501004,2026-03-18,3,Final,1610612750,1610612762,MIN,UTA,147,111,True,2026-03-24T00:27:59.254589+00:00
0022501005,2026-03-18,3,Final,1610612740,1610612746,NOP,LAC,124,109,True,2026-03-24T00:27:59.254589+00:00
0022501006,2026-03-18,3,Final,1610612742,1610612737,DAL,ATL,120,135,True,2026-03-24T00:27:59.254589+00:00
0022501007,2026-03-18,3,Final,1610612745,1610612747,HOU,LAL,116,124,True,2026-03-24T00:27:59.254589+00:00
22500651,2026-03-18,1,8:30 pm ET,1610612763,1610612743,MEM,DEN,,,False,2026-03-12 02:06:25.772464+00:00
22500999,2026-03-18,1,7:00 pm ET,1610612738,1610612744,BOS,GSW,,,False,2026-03-12 02:06:25.772464+00:00
22501000,2026-03-18,1,7:30 pm ET,1610612751,1610612760,BKN,OKC,,,False,2026-03-12 02:06:25.772464+00:00
22501001,2026-03-18,1,7:30 pm ET,1610612754,1610612757,IND,POR,,,False,2026-03-12 02:06:25.772464+00:00
22501002,2026-03-18,1,8:00 pm ET,1610612741,1610612761,CHI,TOR,,,False,2026-03-12 02:06:25.772464+00:00
22501004,2026-03-18,1,8:00 pm ET,1610612750,1610612762,MIN,UTA,,,False,2026-03-12 02:06:25.772464+00:00
22501005,2026-03-18,1,8:00 pm ET,1610612740,1610612746,NOP,LAC,,,False,2026-03-12 02:06:25.772464+00:00
22501006,2026-03-18,1,8:30 pm ET,1610612742,1610612737,DAL,ATL,,,False,2026-03-12 02:06:25.772464+00:00
22501007,2026-03-18,1,9:30 pm ET,1610612745,1610612747,HOU,LAL,,,False,2026-03-12 02:06:25.772464+00:00
0022501008,2026-03-19,3,Final,1610612766,1610612753,CHA,ORL,130,111,True,2026-03-24T00:27:59.375100+00:00
0022501009,2026-03-19,3,Final,1610612764,1610612765,WAS,DET,95,117,True,2026-03-24T00:27:59.375100+00:00
0022501010,2026-03-19,3,Final,1610612748,1610612747,MIA,LAL,126,134,True,2026-03-24T00:27:59.375100+00:00
0022501011,2026-03-19,3,Final,1610612741,1610612739,CHI,CLE,110,115,True,2026-03-24T00:27:59.375100+00:00
0022501012,2026-03-19,3,Final,1610612740,1610612746,NOP,LAC,105,99,True,2026-03-24T00:27:59.375100+00:00
0022501013,2026-03-19,3,Final,1610612759,1610612756,SAS,PHX,101,100,True,2026-03-24T00:27:59.375100+00:00
0022501014,2026-03-19,3,Final,1610612762,1610612749,UTA,MIL,128,96,True,2026-03-24T00:27:59.375100+00:00
0022501015,2026-03-19,3,Final,1610612758,1610612755,SAC,PHI,118,139,True,2026-03-24T00:27:59.375100+00:00
22501008,2026-03-19,1,7:00 pm ET,1610612766,1610612753,CHA,ORL,,,False,2026-03-13T21:44:19.793924+00:00
22501009,2026-03-19,1,7:00 pm ET,1610612764,1610612765,WAS,DET,,,False,2026-03-13T21:44:19.793924+00:00
22501010,2026-03-19,1,8:00 pm ET,1610612748,1610612747,MIA,LAL,,,False,2026-03-13T21:44:19.793924+00:00
22501011,2026-03-19,1,8:00 pm ET,1610612741,1610612739,CHI,CLE,,,False,2026-03-13T21:44:19.793924+00:00
22501012,2026-03-19,1,8:00 pm ET,1610612740,1610612746,NOP,LAC,,,False,2026-03-13T21:44:19.793924+00:00
22501013,2026-03-19,1,8:00 pm ET,1610612759,1610612756,SAS,PHX,,,False,2026-03-13T21:44:19.793924+00:00
22501014,2026-03-19,1,9:00 pm ET,1610612762,1610612749,UTA,MIL,,,False,2026-03-13T21:44:19.793924+00:00
22501015,2026-03-19,1,10:00 pm ET,1610612758,1610612755,SAC,PHI,,,False,2026-03-13T21:44:19.793924+00:00
0022501016,2026-03-20,3,Final,1610612751,1610612752,BKN,NYK,92,93,True,2026-03-24T00:27:59.559725+00:00
